ts,uid,id.orig_h,id.orig_p,id.resp_h,id.resp_p,proto,service,duration,orig_bytes,resp_bytes,conn_state,local_orig,local_resp,missed_bytes,history,orig_pkts,orig_ip_bytes,resp_pkts,resp_ip_bytes,tunnel_parents,ip_proto
1762276437.802223,CL8BNR1qn4PBrDiHz6,192.168.1.226,60386,52.168.117.169,443,tcp,-,-,-,-,OTH,T,F,0,C,0,0,0,0,-,6
1762276435.442635,CA3tDp2GGXLI9hXhI2,192.168.1.226,51753,192.168.1.1,53,udp,dns,0.013513,0,147,SHR,T,T,0,Cd,0,0,1,175,-,17
1762276435.442708,Cyl6q53Kt9Rh0d0Hy9,192.168.1.226,59497,192.168.1.1,53,udp,dns,0.019488,0,276,SHR,T,T,0,Cd,0,0,1,304,-,17
1762276437.786945,CKrAra1SZHohzHI7k7,192.168.1.226,60022,192.168.1.1,53,udp,dns,0.014921,0,87,SHR,T,T,0,Cd,0,0,1,115,-,17
1762276437.787081,CtQgNP3ZaaejNTffu3,192.168.1.226,38410,192.168.1.1,53,udp,dns,0.004314,0,71,SHR,T,T,0,Cd,0,0,1,99,-,17
1762276448.845905,CQmuKb3UrlrpqEi7Ff,192.168.1.226,49326,44.197.144.252,443,tcp,-,14.371318,1,77,RSTO,T,F,0,CadRfR,3,120,5,337,-,6
1762276468.286782,Cu1wXVUebOItNrmf7,192.168.1.226,53342,20.42.73.28,443,tcp,-,-,-,-,OTH,T,F,0,C,0,0,0,0,-,6
1762276468.328202,CupqtU2TVMxb6vD58j,192.168.1.226,53342,20.42.73.28,443,tcp,-,0.274349,0,5156,SHR,T,F,0,^hCadfC,0,0,14,5892,-,6
1762276467.336853,CMSy1z3EdF311raga9,192.168.1.120,5353,224.0.0.251,5353,udp,dns,0.000209,224,0,S0,T,T,0,D,2,280,0,0,-,17
1762276467.336960,CVugYU33IRh3srpIX3,fe80::d6be:dcff:fe5d:faae,5353,ff02::fb,5353,udp,dns,0.000177,224,0,S0,T,F,0,D,2,320,0,0,-,17
1762276468.265234,CaASd6FG3DK85EPR8,192.168.1.226,44375,192.168.1.1,53,udp,dns,0.013043,0,181,SHR,T,T,0,Cd,0,0,1,209,-,17
1762276468.265311,C7sdYxthl56O7niN3,192.168.1.226,35935,192.168.1.1,53,udp,dns,0.020179,0,229,SHR,T,T,0,Cd,0,0,1,257,-,17
1762276468.285645,Cpsp8q4MK2LYxzwv33,192.168.1.226,43289,192.168.1.1,53,udp,dns,0.000903,0,74,SHR,T,T,0,Cd,0,0,1,102,-,17
1762276472.485494,CbVXc1373ejCH6GF42,fe80::3534:ce23:9531:999a,5353,ff02::fb,5353,udp,-,-,-,-,OTH,T,F,0,C,0,0,0,0,-,17
1762276472.485532,CfG4VS2TDrHrjjdfr9,192.168.1.226,5353,224.0.0.251,5353,udp,-,-,-,-,OTH,T,T,0,C,0,0,0,0,-,17
1762276493.047788,C1CZh6jIsZErPyP6b,192.168.1.226,37784,52.182.143.215,443,tcp,-,-,-,-,OTH,T,F,0,C,0,0,0,0,-,6
1762276484.639958,Cbr8vp2DG6VzuVPTe7,192.168.1.226,43133,192.168.1.1,53,udp,dns,0.012428,0,394,SHR,T,T,0,Cd,0,0,1,422,-,17
1762276435.461731,CMZqMa1u1rwIl54E87,192.168.1.226,38501,172.64.146.215,443,udp,-,0.135878,0,5125,SHR,T,F,0,Cd,0,0,11,5433,-,17
1762276493.026602,CNDjrO2VnolXKiCY9g,192.168.1.226,58607,192.168.1.1,53,udp,dns,0.015800,0,90,SHR,T,T,0,Cd,0,0,1,118,-,17
1762276493.026749,CpLFzIIThbhb76l1g,192.168.1.226,46417,192.168.1.1,53,udp,dns,0.021591,0,145,SHR,T,T,0,Cd,0,0,1,173,-,17
1762276493.048091,CktKm9fLu6Nfppu89,192.168.1.226,36834,192.168.1.1,53,udp,dns,0.016349,0,60,SHR,T,T,0,Cd,0,0,1,88,-,17
1762276493.048147,CWuCpPUiMofkrV3f,192.168.1.226,42468,192.168.1.1,53,udp,dns,0.016531,0,101,SHR,T,T,0,Cd,0,0,1,129,-,17
1762276457.037902,ChwZQ61BVRSfsqoBje,192.168.1.226,38438,13.107.213.57,443,tcp,-,42.836370,0,63,SHR,T,F,0,Cadf,0,0,6,375,-,6
1762276504.053284,C5ckMlu0KIWID6K0j,192.168.1.226,33543,192.168.1.1,53,udp,dns,0.017631,0,85,SHR,T,T,0,Cd,0,0,1,113,-,17
1762276504.053400,Cbz76B3qETsbczfZR8,192.168.1.226,42133,192.168.1.1,53,udp,dns,0.023184,0,114,SHR,T,T,0,Cd,0,0,1,142,-,17
1762276504.053632,CFErmz24X5rdDHkyf9,192.168.1.226,43773,192.168.1.1,53,udp,dns,0.023097,0,140,SHR,T,T,0,Cd,0,0,1,168,-,17
1762276504.053678,C5QjMvhoAKyIsEOfe,192.168.1.226,55826,192.168.1.1,53,udp,dns,0.023142,0,94,SHR,T,T,0,Cd,0,0,1,122,-,17
1762276441.128954,CowPg24utGnlZKTTx4,192.168.1.226,34943,142.250.113.113,443,udp,-,21.016295,0,7297,SHR,T,F,0,CdC,0,0,20,7857,-,17
1762276523.066366,CFSJ6M3XlUiSpPioIc,192.168.1.226,60784,13.219.4.63,443,tcp,-,-,-,-,OTH,T,F,0,C,0,0,0,0,-,6
1762276523.048233,CZv28pLMCIaD8xNcj,192.168.1.226,34604,38.94.152.204,443,tcp,-,-,-,-,OTH,T,F,0,C,0,0,0,0,-,6
1762276466.123782,CajSugVosPD258342,192.168.1.226,56867,91.189.91.157,123,udp,ntp,0.055087,0,48,SHR,T,F,0,Cd,0,0,1,76,-,17
1762276523.053793,Cn8pPP3ByrNIYIFck1,192.168.1.226,44222,192.168.1.1,53,udp,dns,0.012323,0,188,SHR,T,T,0,Cd,0,0,1,216,-,17
1762276523.053907,CuX0RR2K1s7tQEgzmk,192.168.1.226,57674,192.168.1.1,53,udp,dns,0.011932,0,145,SHR,T,T,0,Cd,0,0,1,173,-,17
1762276523.107803,CZVjiG4wAFzYBzXvKg,192.168.1.226,34604,38.94.152.204,443,tcp,-,10.797533,0,1545,RSTO,T,F,0,^hCadCfR,1,40,13,2229,-,6
1762276504.077241,CaTNTW1AWUp4uP7Bpe,192.168.1.226,59185,142.251.116.101,443,udp,-,0.130546,0,4671,SHR,T,F,0,CdC,0,0,9,4923,-,17
1762276493.065138,CnwKFc3JjNW8zVlwu4,192.168.1.226,47249,142.250.113.94,443,udp,-,14.063342,0,4884,SHR,T,F,0,CdC,0,0,17,5360,-,17
1762276574.655396,CrIYVS2zIYxc1jJx42,192.168.1.226,53452,185.125.190.49,80,tcp,-,-,-,-,OTH,T,F,0,C,0,0,0,0,-,6
1762276515.833388,C9fZGo197sVMSH69kg,192.168.1.226,39647,239.255.255.250,1900,udp,-,-,-,-,OTH,T,T,0,C,0,0,0,0,-,17
1762276566.451399,CzJKgv2UBjHx6j9WB1,192.168.1.226,56166,192.168.1.1,53,udp,dns,0.016328,0,193,SHR,T,T,0,Cd,0,0,1,221,-,17
1762276566.451469,C5ssvH32orxbsP5Cki,192.168.1.226,39888,192.168.1.1,53,udp,dns,0.016259,0,229,SHR,T,T,0,Cd,0,0,1,257,-,17
1762276566.467988,CUZUSN33PZ30145R34,192.168.1.226,57431,192.168.1.1,53,udp,dns,0.011646,0,145,SHR,T,T,0,Cd,0,0,1,173,-,17
1762276515.876978,CNywbC3TS5zxzPPnOi,192.168.1.197,1900,192.168.1.226,39647,udp,-,3.067011,1352,0,S0,T,T,0,D,4,1464,0,0,-,17
1762276516.655900,CnMAKO35CHjimN4dN7,192.168.1.120,1900,192.168.1.226,39647,udp,-,2.898172,1120,0,S0,T,T,0,D,4,1232,0,0,-,17
1762276574.769877,CGZ6JX2pe433hrst22,192.168.1.226,53452,185.125.190.49,80,tcp,-,0.242032,0,189,SHR,T,F,0,^hCdfa,0,0,4,405,-,6
1762276574.641382,CyROL21wClDVkCEqFg,192.168.1.226,46405,192.168.1.1,53,udp,dns,0.013594,0,250,SHR,T,T,0,Cd,0,0,1,278,-,17
1762276523.106201,CBS3rY1JJKMleYTBZe,192.168.1.226,60784,13.219.4.63,443,tcp,-,60.097195,1,4876,RSTO,T,F,0,^hCadCRfR,3,120,17,5768,-,6
1762276583.048076,CXJhE94wNPPLK0eL7a,192.168.1.226,42292,192.168.1.1,53,udp,dns,0.012496,0,101,SHR,T,T,0,Cd,0,0,1,129,-,17
1762276614.075928,CmdfAT1PnLtojXzSd4,192.168.1.226,35600,192.168.1.1,53,udp,dns,0.013633,0,95,SHR,T,T,0,Cd,0,0,1,123,-,17
1762276614.076007,CZ27Ly2jWJFke2yYn6,192.168.1.226,60067,192.168.1.1,53,udp,dns,0.013633,0,162,SHR,T,T,0,Cd,0,0,1,190,-,17
1762276614.089773,Cgb1V9bVvd6b38i07,192.168.1.226,49303,192.168.1.1,53,udp,dns,0.012245,0,110,SHR,T,T,0,Cd,0,0,1,138,-,17
1762276564.052512,Cslp2h4Vy6ibK3Vbzl,192.168.1.226,34485,142.251.116.101,443,udp,-,0.142282,0,4686,SHR,T,F,0,CdC,0,0,13,5050,-,17
1762276624.050977,CDG1Hn1O88KcrUDUAg,192.168.1.226,48901,192.168.1.1,53,udp,dns,0.016186,0,139,SHR,T,T,0,Cd,0,0,1,167,-,17
1762276624.051058,CN9dEE3oNmvmg8zfVc,192.168.1.226,55168,192.168.1.1,53,udp,dns,0.016369,0,168,SHR,T,T,0,Cd,0,0,1,196,-,17
1762276624.053563,CMgMZZ3cnNI5sRu6Rb,192.168.1.226,53042,192.168.1.1,53,udp,dns,0.013924,0,71,SHR,T,T,0,Cd,0,0,1,99,-,17
1762276624.053616,CBojnR3TS9Go2qXqRb,192.168.1.226,37318,192.168.1.1,53,udp,dns,0.013919,0,105,SHR,T,T,0,Cd,0,0,1,133,-,17
1762276624.054780,C8YOWg0IPEEvYsa94,192.168.1.226,45073,192.168.1.1,53,udp,dns,0.012804,0,94,SHR,T,T,0,Cd,0,0,1,122,-,17
1762276624.067542,CU0mkv2NrUYuYXzRU9,192.168.1.226,46267,192.168.1.1,53,udp,dns,0.013744,0,114,SHR,T,T,0,Cd,0,0,1,142,-,17
