ts,uid,id.orig_h,id.orig_p,id.resp_h,id.resp_p,proto,trans_id,rtt,query,qclass,qclass_name,qtype,qtype_name,rcode,rcode_name,AA,TC,RD,RA,Z,answers,TTLs,rejected
1762276435.456148,CA3tDp2GGXLI9hXhI2,192.168.1.226,51753,192.168.1.1,53,udp,38859,-,www.linkedin.com,-,-,-,-,0,NOERROR,F,F,F,T,0,"cf-afd.www.linkedin.com,www.linkedin.com.cdn.cloudflare.net,172.64.146.215,104.18.41.41","138.000000,138.000000,138.000000,138.000000",F
1762276435.462196,Cyl6q53Kt9Rh0d0Hy9,192.168.1.226,59497,192.168.1.1,53,udp,6164,-,www.linkedin.com,-,-,-,-,0,NOERROR,F,F,F,T,0,"cf-afd.www.linkedin.com,www.linkedin.com.cdn.cloudflare.net","138.000000,138.000000",F
1762276437.801866,CKrAra1SZHohzHI7k7,192.168.1.226,60022,192.168.1.1,53,udp,13302,-,onedscolprdeus10.eastus.cloudapp.azure.com,-,-,-,-,0,NOERROR,F,F,F,T,0,52.168.117.169,5.000000,F
1762276437.791395,CtQgNP3ZaaejNTffu3,192.168.1.226,38410,192.168.1.1,53,udp,56178,-,-,-,-,-,-,0,NOERROR,F,F,F,F,0,-,-,F
1762276467.336853,CMSy1z3EdF311raga9,192.168.1.120,5353,224.0.0.251,5353,udp,0,0.000209,streaming stick 4k._airplay._tcp.local,32769,qclass-32769,33,SRV,0,NOERROR,T,F,F,F,0,x02500tw0j2g.local,120.000000,F
1762276467.336960,CVugYU33IRh3srpIX3,fe80::d6be:dcff:fe5d:faae,5353,ff02::fb,5353,udp,0,0.000177,streaming stick 4k._airplay._tcp.local,32769,qclass-32769,33,SRV,0,NOERROR,T,F,F,F,0,x02500tw0j2g.local,120.000000,F
1762276468.278277,CaASd6FG3DK85EPR8,192.168.1.226,44375,192.168.1.1,53,udp,47173,-,mobile.events.data.microsoft.com,-,-,-,-,0,NOERROR,F,F,F,T,0,"mobile.events.data.trafficmanager.net,onedscolprdeus15.eastus.cloudapp.azure.com,20.42.73.28","73.000000,23.000000,9.000000",F
1762276468.285490,C7sdYxthl56O7niN3,192.168.1.226,35935,192.168.1.1,53,udp,56421,-,mobile.events.data.microsoft.com,-,-,-,-,0,NOERROR,F,F,F,T,0,"mobile.events.data.trafficmanager.net,onedscolprdcus22.centralus.cloudapp.azure.com","80.000000,55.000000",F
1762276468.286548,Cpsp8q4MK2LYxzwv33,192.168.1.226,43289,192.168.1.1,53,udp,45560,-,-,-,-,-,-,0,NOERROR,F,F,F,F,0,-,-,F
1762276484.652386,Cbr8vp2DG6VzuVPTe7,192.168.1.226,43133,192.168.1.1,53,udp,15501,-,connectivity-check.ubuntu.com,-,-,-,-,0,NOERROR,F,F,F,T,0,"2620:2d:4002:1::198,2001:67c:1562::24,2001:67c:1562::23,2620:2d:4000:1::22,2620:2d:4000:1::2b,2620:2d:4000:1::23,2620:2d:4000:1::98,2620:2d:4000:1::96,2620:2d:4000:1::97,2620:2d:4000:1::2a,2620:2d:4002:1::196,2620:2d:4002:1::197","4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000",F
1762276493.042402,CNDjrO2VnolXKiCY9g,192.168.1.226,58607,192.168.1.1,53,udp,62704,-,onedscolprdcus22.centralus.cloudapp.azure.com,-,-,-,-,0,NOERROR,F,F,F,T,0,52.182.143.215,7.000000,F
1762276493.048340,CpLFzIIThbhb76l1g,192.168.1.226,46417,192.168.1.1,53,udp,10373,-,-,-,-,-,-,0,NOERROR,F,F,F,F,0,-,-,F
1762276493.064440,CktKm9fLu6Nfppu89,192.168.1.226,36834,192.168.1.1,53,udp,31503,-,ssl.gstatic.com,-,-,-,-,0,NOERROR,F,F,F,T,0,142.250.113.94,215.000000,F
1762276493.064678,CWuCpPUiMofkrV3f,192.168.1.226,42468,192.168.1.1,53,udp,44953,-,-,-,-,-,-,0,NOERROR,F,F,F,F,0,-,-,F
1762276504.070915,C5ckMlu0KIWID6K0j,192.168.1.226,33543,192.168.1.1,53,udp,37614,-,e212585.b.akamaiedge.net,-,-,-,-,0,NOERROR,F,F,F,T,0,"23.215.55.177,23.215.55.181","9.000000,9.000000",F
1762276504.076584,Cbz76B3qETsbczfZR8,192.168.1.226,42133,192.168.1.1,53,udp,54372,-,-,-,-,-,-,0,NOERROR,F,F,F,F,0,-,-,F
1762276504.076729,CFErmz24X5rdDHkyf9,192.168.1.226,43773,192.168.1.1,53,udp,3545,-,play.google.com,-,-,-,-,0,NOERROR,F,F,F,T,0,"142.251.116.101,142.251.116.100,142.251.116.102,142.251.116.139,142.251.116.138,142.251.116.113","219.000000,219.000000,219.000000,219.000000,219.000000,219.000000",F
1762276504.076820,C5QjMvhoAKyIsEOfe,192.168.1.226,55826,192.168.1.1,53,udp,24407,-,-,-,-,-,-,0,NOERROR,F,F,F,F,0,-,-,F
1762276523.066116,Cn8pPP3ByrNIYIFck1,192.168.1.226,44222,192.168.1.1,53,udp,5199,-,api-eks-2.ext.prod.honeycomb.io,-,-,-,-,0,NOERROR,F,F,F,T,0,"13.219.4.63,54.83.55.90,52.205.16.9,107.20.175.209,44.216.253.181,54.90.195.224,54.162.87.22,52.70.246.181","34.000000,34.000000,34.000000,34.000000,34.000000,34.000000,34.000000,34.000000",F
1762276523.065839,CuX0RR2K1s7tQEgzmk,192.168.1.226,57674,192.168.1.1,53,udp,33617,-,-,-,-,-,-,0,NOERROR,F,F,F,F,0,-,-,F
1762276566.467727,CzJKgv2UBjHx6j9WB1,192.168.1.226,56166,192.168.1.1,53,udp,9383,-,mobile.events.data.microsoft.com,-,-,-,-,0,NOERROR,F,F,F,T,0,"mobile.events.data.trafficmanager.net,onedscolprdgwc01.germanywestcentral.cloudapp.azure.com,51.116.253.168","68.000000,47.000000,6.000000",F
1762276566.467728,C5ssvH32orxbsP5Cki,192.168.1.226,39888,192.168.1.1,53,udp,52150,-,mobile.events.data.microsoft.com,-,-,-,-,0,NOERROR,F,F,F,T,0,"mobile.events.data.trafficmanager.net,onedscolprdcus21.centralus.cloudapp.azure.com","87.000000,37.000000",F
1762276566.479634,CUZUSN33PZ30145R34,192.168.1.226,57431,192.168.1.1,53,udp,24197,-,-,-,-,-,-,0,NOERROR,F,F,F,F,0,-,-,F
1762276574.654976,CyROL21wClDVkCEqFg,192.168.1.226,46405,192.168.1.1,53,udp,59810,-,connectivity-check.ubuntu.com,-,-,-,-,0,NOERROR,F,F,F,T,0,"185.125.190.49,185.125.190.17,185.125.190.18,91.189.91.98,91.189.91.48,91.189.91.49,185.125.190.97,185.125.190.98,185.125.190.48,185.125.190.96,91.189.91.96,91.189.91.97","7.000000,7.000000,7.000000,7.000000,7.000000,7.000000,7.000000,7.000000,7.000000,7.000000,7.000000,7.000000",F
1762276583.060572,CXJhE94wNPPLK0eL7a,192.168.1.226,42292,192.168.1.1,53,udp,35097,-,-,-,-,-,-,0,NOERROR,F,F,F,F,0,-,-,F
1762276614.089561,CmdfAT1PnLtojXzSd4,192.168.1.226,35600,192.168.1.1,53,udp,39298,-,beacons.gcp.gvt2.com,-,-,-,-,0,NOERROR,F,F,F,T,0,"beacons-handoff.gcp.gvt2.com,142.251.16.94","164.000000,186.000000",F
