ts,uid,id.orig_h,id.orig_p,id.resp_h,id.resp_p,name,addl,notice,peer,source
1762276435.442635,CA3tDp2GGXLI9hXhI2,192.168.1.226,51753,192.168.1.1,53,bad_UDP_checksum,-,F,zeek,UDP
1762276436.501074,CJxAzn1qfWQQOf2bQb,192.168.1.226,47318,172.64.148.235,443,bad_TCP_checksum,-,F,zeek,TCP
1762276437.848064,CL8BNR1qn4PBrDiHz6,192.168.1.226,60386,52.168.117.169,443,active_connection_reuse,-,F,zeek,TCP
1762276468.328202,Cu1wXVUebOItNrmf7,192.168.1.226,53342,20.42.73.28,443,active_connection_reuse,-,F,zeek,TCP
1762276472.485494,CbVXc1373ejCH6GF42,fe80::3534:ce23:9531:999a,5353,ff02::fb,5353,bad_UDP_checksum,-,F,zeek,UDP
1762276493.079790,C1CZh6jIsZErPyP6b,192.168.1.226,37784,52.182.143.215,443,active_connection_reuse,-,F,zeek,TCP
1762276523.106201,CFSJ6M3XlUiSpPioIc,192.168.1.226,60784,13.219.4.63,443,active_connection_reuse,-,F,zeek,TCP
1762276523.107803,CZv28pLMCIaD8xNcj,192.168.1.226,34604,38.94.152.204,443,active_connection_reuse,-,F,zeek,TCP
1762276574.769877,CrIYVS2zIYxc1jJx42,192.168.1.226,53452,185.125.190.49,80,active_connection_reuse,-,F,zeek,TCP
1762276643.110905,CUs92e4qsL9N7pUtAd,192.168.1.226,50454,52.205.16.9,443,active_connection_reuse,-,F,zeek,TCP
1762276664.127511,CKy2Vw28NOh0pPPcC7,192.168.1.226,58188,38.94.152.202,443,active_connection_reuse,-,F,zeek,TCP
1762276709.711904,CGA5AF3S5EEXEB1QX9,192.168.1.226,47144,13.107.246.57,443,active_connection_reuse,-,F,zeek,TCP
1762276709.712429,CGNIGsa7AjXb5Dy0k,192.168.1.226,54790,13.107.5.93,443,active_connection_reuse,-,F,zeek,TCP
1762276709.944728,C2EVt81BV6g4Fny4xk,192.168.1.226,54806,13.107.5.93,443,active_connection_reuse,-,F,zeek,TCP
1762276710.222081,CzIGCYwx6mVMwRnT5,192.168.1.226,54816,13.107.5.93,443,active_connection_reuse,-,F,zeek,TCP
1762276763.116567,COF4pz42pnhEDdTIa3,192.168.1.226,34162,34.234.1.110,443,active_connection_reuse,-,F,zeek,TCP
1762276825.115235,CVeQRv2rB3Z2izook8,192.168.1.226,50712,38.94.152.202,443,active_connection_reuse,-,F,zeek,TCP
1762276864.083612,CvkxDn4bqZq8jvERYk,192.168.1.226,34298,23.215.55.177,443,active_connection_reuse,-,F,zeek,TCP
1762276874.735884,C3Zn4N1VGMX9ePkoIh,192.168.1.226,58686,91.189.91.49,80,active_connection_reuse,-,F,zeek,TCP
1762276883.112206,CqLD044tef1x0yF4t5,192.168.1.226,57474,34.234.1.110,443,active_connection_reuse,-,F,zeek,TCP
1762277003.116041,CyvsVW34acS7U6K0ah,192.168.1.226,43320,54.162.87.22,443,active_connection_reuse,-,F,zeek,TCP
1762277006.123055,C7GxET2WGQu56dNXj6,192.168.1.226,45822,38.94.152.203,443,active_connection_reuse,-,F,zeek,TCP
1762277009.854458,CgLyjK1agHx3sC9aKk,192.168.1.226,35030,13.107.213.57,443,active_connection_reuse,-,F,zeek,TCP
1762277009.933991,CkEaNe25vTAHN1WK3l,192.168.1.226,35030,13.107.213.57,443,above_hole_data_without_any_acks,-,F,zeek,TCP
1762277069.086575,CUMlEw3e5tOxnPclDc,192.168.1.226,43976,104.18.32.47,443,active_connection_reuse,-,F,zeek,TCP
1762277069.846408,CrNsYE1fM06GZM9iGd,192.168.1.226,40436,104.18.39.21,443,active_connection_reuse,-,F,zeek,TCP
1762277123.111050,CrGz6R3e3sXXe31Iu9,192.168.1.226,37836,44.216.253.181,443,active_connection_reuse,-,F,zeek,TCP
1762277174.701378,CPVYz012vYkZO0OhT7,192.168.1.226,53688,91.189.91.98,80,active_connection_reuse,-,F,zeek,TCP
1762277207.126623,C4Telm2OI8yG2A6Loh,192.168.1.226,34184,38.94.152.205,443,active_connection_reuse,-,F,zeek,TCP
1762277243.115224,CHTP5w2gM113DPs5Ie,192.168.1.226,34910,44.218.59.95,443,active_connection_reuse,-,F,zeek,TCP
1762277292.039786,CPAqIDXwgFEx9LhB9,192.168.1.226,37784,52.182.143.215,443,above_hole_data_without_any_acks,-,F,zeek,TCP
1762277309.150185,CT3EE72D4yC576d782,192.168.1.226,46492,64.233.180.94,443,active_connection_reuse,-,F,zeek,TCP
1762277309.998684,CJZgwa2bpvL7ekhYsh,192.168.1.226,33386,13.107.246.57,443,active_connection_reuse,-,F,zeek,TCP
1762277310.075635,CEfrDb30FaaYZpiZw6,192.168.1.226,33386,13.107.246.57,443,above_hole_data_without_any_acks,-,F,zeek,TCP
1762277363.236149,CUg1uu1gj46keG0Ang,192.168.1.226,34154,54.90.195.224,443,active_connection_reuse,-,F,zeek,TCP
1762277372.768642,CVcc9F22DwSg8fw1Cl,192.168.1.226,52426,140.82.112.25,443,active_connection_reuse,-,F,zeek,TCP
