rm -f pdml format.o zeek_csv.o
gcc -Wall -c format.c
gcc -Wall -c zeek_csv.c
gcc -Wall -o pdml format.o zeek_csv.o
[./tests/conn.log] Zeek log file being established... (0)
[./tests/conn.log]: Connection Established!
[./tests/conn.log]: #separator \x09
[./tests/conn.log]: #set_separator,,
[./tests/conn.log]: #empty_field,(empty)
[./tests/conn.log]: #unset_field,-
[./tests/conn.log]: #path,conn
[./tests/conn.log]: #open,2025-10-16-20-59-47
[./tests/conn.log]: #fields,ts,uid,id.orig_h,id.orig_p,id.resp_h,id.resp_p,proto,service,duration,orig_bytes,resp_bytes,conn_state,local_orig,local_resp,missed_bytes,history,orig_pkts,orig_ip_bytes,resp_pkts,resp_ip_bytes,tunnel_parents,ip_proto
[./tests/conn.log]: #types,time,string,addr,port,addr,port,enum,string,interval,count,count,string,bool,bool,count,string,count,count,count,count,set[string],count
[./tests/conn.log]: 1760666387.335679,CuYARC3uiqyjikHpEa,172.29.147.79,51294,20.189.173.4,443,tcp,-,-,-,-,OTH,T,F,0,C,0,0,0,0,-,6
[./tests/conn.log]: 1760666387.316441,CHlSUu3dYpA7r6sRDe,172.29.147.79,42460,8.8.8.8,53,udp,dns,0.019069,0,384,SHR,T,F,0,Cd,0,0,2,440,-,17
[./tests/conn.log]: 1760666387.520840,CfIsQx12PKhgl3voa,172.29.144.1,5353,224.0.0.251,5353,udp,dns,0.789878,927,0,S0,T,T,0,D,6,1095,0,0,-,17
[./tests/conn.log]: 1760666387.521232,CDECDt1qbJ7egbO3e,fe80::4bd1:2441:31c:518d,5353,ff02::fb,5353,udp,dns,0.789655,927,0,S0,T,F,0,D,6,1215,0,0,-,17
[./tests/conn.log]: 1760666399.264689,CtxXNQ2jv8MaHTD9bh,172.29.147.79,44282,20.44.10.123,443,tcp,-,-,-,-,OTH,T,F,0,C,0,0,0,0,-,6
[./tests/conn.log]: 1760666399.245763,CeUiBu3gPNeuC2PHrk,172.29.147.79,54890,8.8.8.8,53,udp,dns,0.018746,0,391,SHR,T,F,0,Cd,0,0,2,447,-,17
[./tests/conn.log]: 1760666424.954307,CgTNmG2uXvEtid6iL4,172.29.147.79,44280,140.82.114.5,443,tcp,-,-,-,-,OTH,T,F,0,C,0,0,0,0,-,6
[./tests/conn.log]: 1760666426.943772,CERbgo4kCJ4ienbqyl,172.29.147.79,55810,20.189.173.4,443,tcp,-,-,-,-,OTH,T,F,0,C,0,0,0,0,-,6
[./tests/conn.log]: 1760666428.996560,C7U15B1CZtJk6OXZOj,172.29.147.79,55814,20.189.173.4,443,tcp,-,-,-,-,OTH,T,F,0,C,0,0,0,0,-,6
[./tests/conn.log]: 1760666429.835114,CLNAw4kwOHeeIiVFc,172.29.147.79,55820,20.189.173.4,443,tcp,-,-,-,-,OTH,T,F,0,C,0,0,0,0,-,6
[./tests/conn.log]: 1760666431.116994,Ck5K5C2eVPQTzigGa5,172.29.147.79,33764,20.189.173.18,443,tcp,-,-,-,-,OTH,T,F,0,C,0,0,0,0,-,6
[./tests/conn.log]: 1760666432.309165,Ch11K01q4GryWdfqDb,172.29.147.79,55830,20.189.173.4,443,tcp,-,-,-,-,OTH,T,F,0,C,0,0,0,0,-,6
[./tests/conn.log]: 1760666433.139685,CzkBuh44Sd1dh6t0S1,172.29.147.79,39138,13.89.178.26,443,tcp,-,-,-,-,OTH,T,F,0,C,0,0,0,0,-,6
[./tests/conn.log]: 1760666434.706406,CMWZQv2wQGUmnJ5RFd,172.29.147.79,48964,13.89.179.9,443,tcp,-,-,-,-,OTH,T,F,0,C,0,0,0,0,-,6
[./tests/conn.log]: 1760666424.935037,COe5Ba3mrXV9TGksYc,172.29.147.79,35333,8.8.8.8,53,udp,dns,0.019084,0,145,SHR,T,F,0,Cd,0,0,2,201,-,17
[./tests/conn.log]: 1760666435.419612,Cx9f1Q2C6pjkuUWN8i,172.29.147.79,54764,20.189.173.27,443,tcp,-,-,-,-,OTH,T,F,0,C,0,0,0,0,-,6
[./tests/conn.log]: 1760666431.187743,CgCe52t23GpRfBed5,172.29.147.79,33764,20.189.173.18,443,tcp,-,0.384666,0,5158,SHR,T,F,0,^hCdaCf,0,0,14,5894,-,6
[./tests/conn.log]: 1760666426.923829,Cd2kdO3HKTrAPD1Hf6,172.29.147.79,60355,8.8.8.8,53,udp,dns,0.019699,0,384,SHR,T,F,0,Cd,0,0,2,440,-,17
[./tests/conn.log]: 1760666437.388967,Ccqa2S3StwB599nfeb,172.29.147.79,58310,13.89.178.26,443,tcp,-,-,-,-,OTH,T,F,0,C,0,0,0,0,-,6
[./tests/conn.log]: 1760666432.380157,C7GhOhi6MtLtfLZ2k,172.29.147.79,55830,20.189.173.4,443,tcp,-,0.343244,0,5158,SHR,T,F,0,^hCadfC,0,0,14,5894,-,6
[./tests/conn.log]: 1760666428.975544,C88MX72HNhMr5zCTic,172.29.147.79,59226,8.8.8.8,53,udp,dns,0.020781,0,388,SHR,T,F,0,Cd,0,0,2,444,-,17
[./tests/conn.log]: 1760666429.815930,CWC3Rt4NgfguJh9Esa,172.29.147.79,48233,8.8.8.8,53,udp,dns,0.019011,0,388,SHR,T,F,0,Cd,0,0,2,444,-,17
[./tests/conn.log]: 1760666440.185490,CfaOnV21tlvrCSBztk,172.29.147.79,58314,13.89.178.26,443,tcp,-,-,-,-,OTH,T,F,0,C,0,0,0,0,-,6
[./tests/conn.log]: 1760666435.499983,C8YKtyeUD1fXkbJPh,172.29.147.79,54764,20.189.173.27,443,tcp,-,0.384626,0,5158,SHR,T,F,0,^hCdafC,0,0,11,5738,-,6
[./tests/conn.log]: 1760666431.096184,CVmBjUCUleYhvUVx3,172.29.147.79,50996,8.8.8.8,53,udp,dns,0.020567,0,388,SHR,T,F,0,Cd,0,0,2,444,-,17
[./tests/conn.log]: 1760666432.286467,CyifMb1dk9jC3xpUxi,172.29.147.79,48437,8.8.8.8,53,udp,dns,0.022392,0,388,SHR,T,F,0,Cd,0,0,2,444,-,17
[./tests/conn.log]: 1760666442.271382,CVM4H72MEOaqvsxScf,172.29.147.79,34582,52.178.17.2,443,tcp,-,-,-,-,OTH,T,F,0,C,0,0,0,0,-,6
[./tests/conn.log]: 1760666433.123290,CIFax02iZVKjQ4Gj0k,172.29.147.79,50596,8.8.8.8,53,udp,dns,0.016199,0,391,SHR,T,F,0,Cd,0,0,2,447,-,17
[./tests/conn.log]: 1760666425.001153,CotWQn1iAJ5dAUwhM2,172.29.147.79,44280,140.82.114.5,443,tcp,-,13.272963,0,48539,RSTO,T,F,0,^hCdacCcRf,2,80,50,7727,-,6
[./tests/conn.log]: 1760666434.685676,C8L2nb3TKzGkq2gswa,172.29.147.79,37325,8.8.8.8,53,udp,dns,0.020539,0,391,SHR,T,F,0,Cd,0,0,2,447,-,17
[./tests/conn.log]: 17
[./tests/conn.log]: 1760666445.369376,Cdndkf2V2eNwhtvwYj,172.29.147.79,34564,13.69.239.74,443,tcp,-,-,-,-,OTH,T,F,0,C,0,0,0,0,-,6
[./tests/conn.log]: 1760666437.369033,CEUEJY2U2gRisB6Po,172.29.147.79,57459,8.8.8.8,53,udp,dns,0.019778,0,391,SHR,T,F,0,Cd,0,0,2,447,-,17
[./tests/conn.log]: 1760666448.485043,CL70bu40y9fv9xH6u1,172.29.147.79,40680,13.89.178.26,443,tcp,-,-,-,-,OTH,T,F,0,C,0,0,0,0,-,6
[./tests/conn.log]: 1760666442.397781,CvAvjhX1LFKReKckg,172.29.147.79,34582,52.178.17.2,443,tcp,-,1.440576,0,5158,SHR,T,F,0,^hCdafC,0,0,12,5790,-,6
[./tests/conn.log]: 1760666440.166997,Cd1gUX2Ons1xRc4OTg,172.29.147.79,39219,8.8.8.8,53,udp,dns,0.018217,0,387,SHR,T,F,0,Cd,0,0,2,443,-,17
[./tests/conn.log]: 1760666451.684704,C0vV613z280AVrbHc,172.29.147.79,44964,104.208.16.90,443,tcp,-,-,-,-,OTH,T,F,0,C,0,0,0,0,-,6
[./tests/conn.log]: 1760666442.253355,CiM6KI3y5574vPQ6Wc,172.29.147.79,39519,8.8.8.8,53,udp,dns,0.017822,0,392,SHR,T,F,0,Cd,0,0,2,448,-,17
[./tests/conn.log]: 1760666453.712321,CF98Pn2V45onfUSJSf,172.29.147.79,49182,20.50.80.213,443,tcp,-,-,-,-,OTH,T,F,0,C,0,0,0,0,-,6
[./tests/conn.log]: 1760666445.341678,CDa0gY2NQ2qOj9ixlf,172.29.147.79,36632,8.8.8.8,53,udp,dns,0.027462,0,393,SHR,T,F,0,Cd,0,0,2,449,-,17
[./tests/conn.log]: 1760666451.711070,CJIfoB2xgGSFUU0L6,172.29.147.79,44964,104.208.16.90,443,tcp,-,0.146000,0,5155,SHR,T,F,0,^hCdafC,0,0,12,5787,-,6
[./tests/conn.log]: 1760666448.462684,CD5c511Wpj0Hb7Sfr8,172.29.147.79,51341,8.8.8.8,53,udp,dns,0.022143,0,387,SHR,T,F,0,Cd,0,0,2,443,-,17
[./tests/conn.log]: 1760666460.291642,Cflpui1laHl92OpBF,172.29.147.79,34444,52.168.112.66,443,tcp,-,-,-,-,OTH,T,F,0,C,0,0,0,0,-,6
[./tests/conn.log]: 1760666451.664158,CBrajw5TCKzMMEqS2,172.29.147.79,46291,8.8.8.8,53,udp,dns,0.020310,0,388,SHR,T,F,0,Cd,0,0,2,444,-,17
[./tests/conn.log]: 1760666462.876268,CIYr3n1P8ronKkYUg7,172.29.147.79,54538,52.182.143.214,443,tcp,-,-,-,-,OTH,T,F,0,C,0,0,0,0,-,6
